date,symbol,open,high,low,close,volume
2026-05-01,AAPL,184.20,186.10,183.90,185.64,52300000
2026-05-04,AAPL,185.80,187.25,184.95,186.92,47800000
2026-05-05,AAPL,187.10,189.45,186.70,188.87,51200000
2026-05-06,AAPL,188.40,190.15,187.20,189.51,49800000
2026-05-07,AAPL,189.70,191.40,188.60,190.72,53600000
2026-05-08,AAPL,190.80,192.25,189.75,191.12,50100000
2026-05-11,AAPL,191.00,193.10,190.45,192.84,54400000
2026-05-12,AAPL,192.30,193.55,190.80,191.00,56000000
2026-05-01,MSFT,408.00,412.50,406.25,410.40,26100000
2026-05-04,MSFT,411.25,414.20,409.60,413.18,24700000
2026-05-05,MSFT,413.80,416.70,412.10,415.95,25300000
2026-05-06,MSFT,415.20,418.40,414.80,417.35,23900000
2026-05-07,MSFT,417.80,420.10,415.90,419.22,27100000
2026-05-08,MSFT,419.50,422.40,418.20,421.00,25800000
2026-05-11,MSFT,420.70,423.60,419.85,422.75,26600000
2026-05-12,MSFT,422.10,424.20,419.90,421.00,28100000
2026-05-01,NVDA,860.00,879.50,851.25,872.35,41200000
2026-05-04,NVDA,875.50,889.20,868.80,884.10,39800000
2026-05-05,NVDA,887.40,902.30,881.60,897.75,43500000
2026-05-06,NVDA,899.10,915.00,891.20,908.40,42100000
2026-05-07,NVDA,910.25,924.60,901.70,918.15,45200000
2026-05-08,NVDA,917.90,925.80,902.50,910.00,47000000
2026-05-11,NVDA,912.50,931.10,908.40,927.60,44600000
2026-05-12,NVDA,928.00,936.50,905.20,910.00,48900000
2026-05-01,SPY,500.10,503.40,499.50,502.25,70300000
2026-05-04,SPY,502.60,505.30,501.70,504.10,68500000
2026-05-05,SPY,504.30,507.20,503.20,506.40,72200000
2026-05-06,SPY,506.10,508.10,504.80,507.55,69900000
2026-05-07,SPY,507.80,510.20,506.60,509.90,71600000
2026-05-08,SPY,510.00,513.00,508.90,512.00,74200000
2026-05-11,SPY,511.70,514.30,510.80,513.20,73100000
2026-05-12,SPY,513.00,515.00,510.20,512.00,75800000
2026-05-01,BND,71.10,71.45,70.95,71.20,6200000
2026-05-04,BND,71.20,71.50,71.05,71.35,5800000
2026-05-05,BND,71.30,71.55,71.10,71.42,6100000
2026-05-06,BND,71.40,71.60,71.18,71.30,5900000
2026-05-07,BND,71.25,71.50,71.00,71.18,6300000
2026-05-08,BND,71.12,71.40,70.95,71.28,6000000
2026-05-11,BND,71.30,71.55,71.05,71.44,6400000
2026-05-12,BND,71.42,71.60,71.10,71.50,6250000
2026-05-01,QQQ,430.20,435.50,429.60,433.10,38100000
2026-05-04,QQQ,433.50,437.20,431.90,436.25,36500000
2026-05-05,QQQ,436.80,441.10,435.40,439.90,39200000
2026-05-06,QQQ,439.20,443.80,438.00,442.35,37700000
2026-05-07,QQQ,442.80,447.10,441.20,445.65,40500000
2026-05-08,QQQ,445.20,448.30,442.70,446.20,39800000
2026-05-11,QQQ,446.70,451.00,445.60,449.80,41100000
2026-05-12,QQQ,449.30,452.60,444.10,446.90,42900000
2026-05-01,VXUS,59.40,59.95,59.10,59.62,5200000
2026-05-04,VXUS,59.75,60.20,59.50,60.05,4980000
2026-05-05,VXUS,60.10,60.55,59.85,60.42,5110000
2026-05-06,VXUS,60.35,60.90,60.10,60.74,5050000
2026-05-07,VXUS,60.80,61.20,60.40,61.05,5360000
2026-05-08,VXUS,61.00,61.40,60.70,61.22,5220000
2026-05-11,VXUS,61.18,61.65,60.95,61.48,5480000
2026-05-12,VXUS,61.45,61.82,60.88,61.25,5590000
2026-05-01,IEF,95.60,95.95,95.25,95.72,8100000
2026-05-04,IEF,95.65,96.05,95.38,95.90,7950000
2026-05-05,IEF,95.92,96.10,95.44,95.64,8220000
2026-05-06,IEF,95.48,95.75,95.05,95.32,8050000
2026-05-07,IEF,95.20,95.55,94.88,95.08,8340000
2026-05-08,IEF,95.02,95.30,94.70,94.92,8180000
2026-05-11,IEF,94.86,95.15,94.52,94.76,8420000
2026-05-12,IEF,94.72,95.05,94.40,94.80,8360000
2026-05-01,TLT,92.80,93.40,92.10,93.05,28600000
2026-05-04,TLT,92.90,93.20,91.85,92.35,27100000
2026-05-05,TLT,92.20,92.75,91.60,92.05,29400000
2026-05-06,TLT,91.85,92.20,90.95,91.52,28300000
2026-05-07,TLT,91.40,91.95,90.70,91.12,30100000
2026-05-08,TLT,91.05,91.70,90.55,91.34,28900000
2026-05-11,TLT,91.30,91.88,90.85,91.58,29600000
2026-05-12,TLT,91.55,92.05,90.95,91.40,30700000
2026-05-01,GLD,218.20,220.10,217.40,219.35,9100000
2026-05-04,GLD,219.10,221.30,218.60,220.75,8820000
2026-05-05,GLD,220.60,222.20,219.70,221.48,8970000
2026-05-06,GLD,221.25,223.60,220.90,222.84,9050000
2026-05-07,GLD,222.50,224.10,221.80,223.25,9240000
2026-05-08,GLD,223.10,224.80,222.30,224.02,9160000
2026-05-11,GLD,224.00,226.20,223.30,225.14,9360000
2026-05-12,GLD,225.00,226.10,224.20,225.30,9290000
